datetime,24_HR_PCP
2023-10-24,0.0
2023-10-25,1.02
2023-10-26,0.0
2023-10-27,0.0
2023-10-28,0.0
2023-10-29,0.0
2023-10-30,0.0
2023-10-31,0.0
2023-11-01,0.0
2023-11-02,4.57
2023-11-03,0.0
2023-11-04,4.32
2023-11-05,4.06
2023-11-06,1.78
2023-11-07,0.0
2023-11-08,0.0
2023-11-09,0.0
2023-11-10,0.76
2023-11-11,0.0
2023-11-12,0.0
2023-11-13,0.0
2023-11-14,0.0
2023-11-15,0.0
2023-11-16,0.0
2023-11-17,0.0
2023-11-18,2.54
2023-11-19,2.54
2023-11-20,0.0
2023-11-21,0.0
2023-11-22,0.0
2023-11-23,0.0
2023-11-24,0.0
2023-11-25,0.25
2023-11-26,0.0
2023-11-27,0.0
2023-11-28,0.0
2023-11-29,0.0
2023-11-30,0.76
2023-12-01,2.54
2023-12-02,0.76
2023-12-03,5.84
2023-12-04,0.0
2023-12-05,0.0
2023-12-06,0.0
2023-12-07,0.76
2023-12-08,0.0
2023-12-09,0.0
2023-12-10,4.32
2023-12-11,3.05
2023-12-12,0.0
2023-12-13,0.0
2023-12-14,0.0
2023-12-15,0.0
2023-12-16,0.0
2023-12-17,0.0
2023-12-18,0.0
2023-12-19,5.33
2023-12-20,0.0
2023-12-21,0.0
2023-12-22,0.0
2023-12-23,0.0
2023-12-24,0.0
2023-12-25,0.0
2023-12-26,1.27
2023-12-27,0.0
2023-12-28,0.0
2023-12-29,0.25
2023-12-30,0.0
2023-12-31,0.0
2024-01-01,0.0
2024-01-02,0.0
2024-01-03,1.02
2024-01-04,0.0
2024-01-05,0.0
2024-01-06,3.3
2024-01-07,1.78
2024-01-08,0.76
2024-01-09,1.52
2024-01-10,0.25
2024-01-11,0.0
2024-01-12,1.78
2024-01-13,11.68
2024-01-14,0.0
2024-01-15,0.25
2024-01-16,1.52
2024-01-17,5.84
2024-01-18,2.29
2024-01-19,0.0
2024-01-20,0.76
2024-01-21,3.3
2024-01-22,6.86
2024-01-23,0.76
2024-01-24,5.59
2024-01-25,0.25
2024-01-26,0.76
2024-01-27,4.83
2024-01-28,1.02
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,5.59
2024-02-02,0.25
2024-02-03,8.89
2024-02-04,0.0
2024-02-05,0.25
2024-02-06,0.0
2024-02-07,0.0
2024-02-08,0.0
2024-02-09,0.76
2024-02-10,0.0
2024-02-11,0.0
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,4.32
2024-02-15,2.29
2024-02-16,1.02
2024-02-17,0.0
2024-02-18,6.6
2024-02-19,0.0
2024-02-20,0.76
2024-02-21,0.0
2024-02-22,0.0
2024-02-23,0.0
2024-02-24,0.0
2024-02-25,0.0
2024-02-26,0.25
