OPENET_ID,Acres,ACRES_FTR_GEOM,HUC8_name,HUC8,GRIDMET_ID,HUC12_name,HUC12,OWRD,Region,ITYPE,srctype,IRR_EFF
ORx_158742,147.36377355443224,147.1273466,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158744,29.6929689369489,29.65402131,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158778,186.9566371875584,186.6550035,Lost,18010204,575265,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158754,8.676777693238984,8.66177802,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158756,17.97126358099246,17.9455053,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158779,11.296258524812853,11.27662496,Lost,18010204,575266,Swan Lake,180102040804,14,18.0,1.0,1.0,0.85
ORx_158739,72.87995089026728,72.7673979,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,3.0,0.85
ORx_158750,22.127411060948763,22.08832398,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,1.0,3.0,0.85
ORx_158745,15.953514782542594,15.93160304,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158738,77.82141760549757,77.6955499,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,1.0,3.0,0.85
ORx_158746,27.168167500814224,27.11515705,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158741,10.130737945932776,10.11696548,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158740,146.37877405955203,146.1408376,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158737,68.87027619091529,68.76199692,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,3.0,0.85
ORx_158735,82.46763565968885,82.32810469,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,1.0,3.0,0.85
ORx_158749,20.835449648488925,20.80603336,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,2.0,1.0,0.75
ORx_158747,62.42121327638178,62.32227859,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158736,23.25402497761497,23.21797833,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158734,150.17037614465076,149.9196212,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,1.0,1.0,0.85
ORx_158733,118.41734009469629,118.2093424,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,1.0,3.0,0.85
ORx_158751,15.727699022203913,15.69783758,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,3.0,2.0,0.5
ORx_158748,32.182696563918036,32.12208689,Lost,18010204,575264,Grizzly Butte,180102040802,14,18.0,1.0,2.0,0.85
ORx_158732,39.550419361777365,39.49535467,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,1.0,0.0,0.85
ORx_158784,60.449053011367134,60.34100619,Lost,18010204,575265,Swan Lake,180102040804,14,18.0,3.0,1.0,0.5
ORx_158902,3.805292801588702,3.797046976,Lost,18010204,575265,Grizzly Butte,180102040802,14,18.0,1.0,3.0,0.85
